rate	title	country	rating_sum	year
8.5	源来是爱	香港	51.0	2003
4.4	辣妹特工之危机四伏	香港	51.0	2004
7.3	暴风少年	香港	51.0	1991
6.6	火战场	香港	51.0	1994
5.5	冷面虎	香港	51.0	1973
6.4	香港过客	香港	51.0	1972
5.9	玉女嬉春	香港	51.0	1971
5.2	忠奸盗	香港	52.0	1990
7.0	证人	香港	52.0	1993
4.7	皇家飞凤	香港	52.0	1989
6.6	青春鼓王	香港	52.0	1967
2.8	僵尸复活	香港	52.0	2003
7.4	青春儿女	香港	52.0	1959
7.4	特警90 II 之亡命天涯	香港	52.0	1990
3.5	古惑仔之走马岗的日子	香港	52.0	1999
6.6	狂恋诗	香港	52.0	1968
5.2	我的情人	香港	52.0	1971
4.5	噩梦	香港	53.0	2004
7.1	情深似海	香港	53.0	1960
5.4	惊天动地	香港	53.0	1999
5.2	赌鬼	香港	53.0	2000
6.0	戴绿帽的女人	香港	53.0	1995
6.6	人海孤鸿	香港	53.0	1960
3.9	迷离警界之鬼车	香港	53.0	2002
3.2	古惑仔之火拼街头	香港	53.0	2000
6.6	警察	香港	53.0	1973
6.6	艳阳天	香港	53.0	1967
3.6	现代古惑仔	香港	53.0	1995
4.0	千面娇娃	香港	54.0	1998
5.9	女秀才	香港	54.0	1966
5.6	剑女幽魂	香港	54.0	1971
6.5	地老天荒	香港	54.0	2006
7.0	落花时节	香港	54.0	1968
6.8	我为你狂	香港	54.0	1984
7.2	乔迁之喜	香港	54.0	1954
7.3	杀机	香港	54.0	1970
5.3	铁娃	香港	54.0	1973
6.3	摩登亲家	香港	54.0	1990
6.4	初生之犊	香港	54.0	1993
4.5	女子跆拳群英会	香港	54.0	1975
6.1	禁海苍狼	香港	55.0	1991
6.7	红伶泪	香港	55.0	1965
5.8	多嘴街	香港	55.0	1974
6.0	阿牛入城记	香港	55.0	1974
4.6	少年刀手	香港	55.0	2003
7.3	玉女添丁	香港	55.0	1968
3.9	武神黑侠	香港	55.0	2001
5.5	新俏郎君	香港	55.0	1994
5.8	M酒店	香港	55.0	2011
4.9	霸王花之捉鬼女天师	香港	56.0	1991
5.9	特警009	香港	56.0	1967
7.2	马陵道	香港	56.0	1965
4.2	色降2之血玫瑰	香港	56.0	1992
7.2	蟋蟀皇帝	香港	56.0	1966
6.1	相思河畔	香港	56.0	1969
6.2	山歌姻缘	香港	56.0	1965
6.8	云裳艳后	香港	56.0	1959
7.6	狮子山下 一场饭局	香港	56.0	2015
7.2	啼笑姻缘	香港	57.0	1957
6.3	正牌香蕉俱乐部	香港	57.0	1996
4.8	隔世鬼奸情	香港	57.0	1987
4.7	猛鬼血魔	香港	57.0	2000
5.4	跆拳震九州	香港	57.0	1973
4.7	一屋两火	香港	57.0	2003
6.9	恋爱之道	香港	57.0	1949
